"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"133","Test","Test",9,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.5.ashi.50.wav"
"134","Test","Test",10,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.5.ashi.50.wav"
"135","Test","Test",3,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.5.ashi.50.wav"
"136","Test","Test",4,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.5.ashi.50.wav"
"137","Test","Test",7,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.5.ashi.50.wav"
"138","Test","Test",8,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.5.ashi.50.wav"
"139","Test","Test",11,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.5.ashi.50.wav"
"140","Test","Test",12,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.5.ashi.50.wav"
"141","Test","Test",1,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.6.ashi.70.wav"
"142","Test","Test",2,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.6.ashi.70.wav"
"143","Test","Test",5,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.6.ashi.70.wav"
"144","Test","Test",6,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.6.ashi.70.wav"
"145","Test","Test",9,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.6.ashi.70.wav"
"146","Test","Test",10,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.6.ashi.70.wav"
"147","Test","Test",3,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.6.ashi.70.wav"
"148","Test","Test",4,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.6.ashi.70.wav"
"149","Test","Test",7,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.6.ashi.70.wav"
"150","Test","Test",8,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.6.ashi.70.wav"
"151","Test","Test",11,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.6.ashi.70.wav"
"152","Test","Test",12,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.6.ashi.70.wav"
